  M    Peri. Node   Incl.  e      a 
263.3   29.8  72.1   9.0 0.218  49.3
156.9  120.7  37.3  10.7 0.284  43.3
251.0   33.6  67.2  10.4 0.175  44.0
 94.3  176.4  36.2  10.1 0.398  41.9
 70.4  104.5 132.2  21.0 0.296  48.6
109.4  172.5  31.4  12.1 0.298  48.0
135.9  128.4  76.6  13.7 0.184  46.9
  9.8  315.5  59.8   9.4 0.287  39.2
353.7  297.4 123.8   8.9 0.160  42.0
 99.0   95.3 202.7  17.3 0.154  43.0
 18.5  224.4 158.5  47.7 0.252  48.4
341.3  337.8 117.6   9.7 0.190  39.0
 17.8  245.3  52.8  30.5 0.211  46.0
 67.9  250.5  77.7  26.4 0.042  41.0
344.7  281.8 109.3  27.4 0.180  42.9
238.3  177.1 335.2   6.5 0.083  42.1
244.1  121.6  79.7  10.2 0.081  36.2
 30.0  293.7  43.8  26.0 0.038  38.3
358.1  202.7 162.7  28.8 0.101  44.1
346.5  298.1 113.1  19.3 0.102  41.0
358.2  312.9  96.0  18.3 0.276  39.3
 14.5  292.5  75.7  26.3 0.253  48.3
 62.5  168.3  83.7   4.7 0.138  46.3
281.9   96.7 347.2  15.7 0.127  40.1
284.6  230.1 136.3   4.1 0.055  44.4
143.6  170.7  43.1   2.4 0.080  43.8
  2.5  171.6 208.4   4.6 0.265  41.8
 28.1  247.7 128.5   4.1 0.160  42.1
315.9   74.9 290.2   9.7 0.163  45.9
284.0    6.3 127.5   4.4 0.049  38.5
  8.6  346.7 354.5  22.4 0.139  46.7
 70.0  261.4 308.9   3.9 0.121  46.6
153.9   79.9 130.3  11.3 0.091  44.4
352.6  266.1  94.8   2.5 0.035  43.2
 12.6  320.5 355.7   4.4 0.184  46.6
 15.0  183.8 211.3  16.7 0.181  45.9
275.1  346.2  65.0   3.5 0.055  42.4
 63.7   74.9 138.2   3.8 0.037  43.9
  2.8  197.4 138.8  43.8 0.220  47.3
220.6  196.1 299.8   4.9 0.079  45.5
 18.2  354.8 307.4  16.1 0.213  42.8
 59.8  274.9 342.9  28.8 0.180  44.1
269.6  165.3 257.1  18.5 0.076  40.6
139.8   90.5  97.6   3.3 0.172  39.3
323.4   35.3 325.2  12.2 0.054  43.4
316.6  183.0 126.0   4.8 0.248  39.7
 26.2  273.6   1.0   7.8 0.156  42.8
  2.6  279.0  58.9  11.0 0.265  49.6
 10.2  280.8  25.5   7.7 0.128  45.1
 23.5  318.0 351.4   9.3 0.113  46.4
 40.2   88.3 200.0   4.3 0.085  43.5
 51.9  248.8  20.8  12.9 0.198  46.0
127.8  202.6   1.0  17.5 0.055  40.4
275.3  236.0 140.9   3.2 0.104  43.2
 33.8  198.7  63.7  10.0 0.072  44.3
304.4  181.8 116.1   3.8 0.067  43.6
149.8   22.8 146.7   1.5 0.055  44.0
340.9  157.7 223.3   1.3 0.093  43.5
 16.8  131.9 177.4  16.1 0.049  41.1
308.0  106.6 287.1  25.6 0.117  42.9
  3.9   58.2 197.4   7.3 0.229  39.8
337.6  136.3 162.8  12.6 0.271  39.6
 43.7   93.3  96.3   9.7 0.205  39.7
 21.0   87.1 129.5   4.0 0.245  39.9
 48.7   52.8 200.1  19.3 0.086  40.8
326.8  128.3 160.5  16.8 0.264  39.6
 46.3  104.6  62.0   6.2 0.142  39.9
351.4  205.9  66.4   9.9 0.250  42.4
348.8   55.1 217.4  24.1 0.032  38.7
355.1  148.9 127.1   8.2 0.410  48.8
337.1  149.5 146.1  14.5 0.223  39.9
359.0  174.4 125.9  15.1 0.171  48.2
248.0  297.7 119.2  15.4 0.088  39.4
 20.1   97.6 109.8   8.0 0.224  39.7
201.8  321.8 146.2  19.4 0.071  39.5
 37.7  347.8 196.3  15.7 0.293  39.4
329.4  153.5 138.6  17.7 0.110  41.7
354.3  118.3 129.4   6.2 0.286  39.7
314.5  151.5 157.0  20.0 0.201  39.6
349.8   27.3 306.1  47.4 0.219  43.4
 61.5   89.2  67.9  14.8 0.065  39.5
357.7  186.4  39.7   9.0 0.249  39.8
 62.3   86.3  57.1  27.8 0.157  43.4
355.4  132.3 109.9  14.7 0.234  39.9
 26.7  341.0 222.7  15.4 0.184  46.6
200.1  303.8  88.0  24.4 0.012  38.1
316.5  133.8 118.2   8.5 0.075  43.4
352.6  172.4  73.6  14.4 0.248  39.6
 19.0   72.9 159.9  54.2 0.394  39.8
354.4   12.6 234.2  24.0 0.333  39.8
341.6   36.8 233.1  17.2 0.279  39.8
 12.8  234.6 331.6   8.8 0.197  39.9
 31.4   28.1 134.0  17.0 0.261  48.1
 14.3  132.0  67.4  20.1 0.264  39.6
339.2   53.0 204.2  26.0 0.277  39.3
343.9  148.6 128.6  15.7 0.251  41.4
  2.4  132.6  84.6   5.9 0.043  44.2
 34.1   23.2 137.3  16.2 0.297  39.7
354.9  129.5  97.2  14.5 0.146  41.0
296.6  235.5  54.9  21.9 0.086  41.5
287.1  280.1  33.8  12.1 0.101  46.5
106.0  336.3 132.3  15.2 0.095  33.6
152.4  167.1 193.1  34.8 0.214  46.4
 48.6  244.2 242.0  18.5 0.208  43.7
237.2  349.3 346.4  27.9 0.140  43.7
 12.9  352.1 187.8   6.0 0.189  39.7
332.5   43.9 189.3  21.5 0.152  43.2
 35.1  131.1   5.5  28.2 0.154  45.0
341.4   88.8 140.6  19.0 0.103  41.6
233.7  186.7 144.4  13.6 0.133  36.7
134.6  356.7  40.0  10.3 0.288  39.4
349.7   35.2 201.9  24.1 0.264  39.7
350.0  332.0 180.6   4.2 0.104  47.6
285.1  316.1 303.7   6.8 0.071  47.3
227.3  267.1  67.5  10.7 0.087  45.1
336.3  208.6  18.9   9.4 0.224  47.2
 86.6  338.9 153.4  10.9 0.159  42.5
 26.2  109.3  99.8   6.9 0.024  38.1
253.5  196.2 119.4   4.5 0.157  36.6
 88.2   75.8  35.6  23.7 0.047  42.9
225.0  150.4 164.1   6.5 0.012  43.4
  5.2  330.6 199.3   1.9 0.022  44.0
302.2  235.9  30.7   8.7 0.162  46.2
 89.0   50.8  20.4   7.9 0.172  44.0
 91.7   78.6 323.1  11.2 0.045  41.8
 41.7  102.5 320.1  15.7 0.338  45.7
264.2  346.0 279.3  15.5 0.146  45.9
337.1  264.8 274.5  27.0 0.143  42.9
269.1  111.8 131.8   7.2 0.142  47.1
330.1   75.1 104.6   4.3 0.249  43.7
358.9  188.3 351.8  30.1 0.113  40.6
336.9  266.5 292.3   3.6 0.014  45.8
  0.0  238.4 156.3  30.0 0.141  42.7
175.6  112.8  82.3   8.8 0.162  46.5
  8.2  304.1 113.6  19.9 0.323  39.1
150.7  144.8  81.8   2.9 0.062  43.4
300.9  283.7 178.5   6.8 0.201  39.1
 81.2  189.3  99.1   0.9 0.113  44.6
289.1  283.2 193.2  10.5 0.195  46.2
 20.2  320.3  39.7   2.5 0.088  45.1
307.2   14.1  71.2   2.7 0.096  44.7
107.7  114.2 155.9   2.9 0.044  42.6
329.4  280.0 134.8   3.6 0.029  44.9
199.3  156.9  26.9   6.8 0.021  42.8
 21.2  331.0  22.3   7.2 0.173  47.3
122.8  223.8  29.3   4.5 0.057  44.1
168.6  179.9  29.9   3.0 0.141  39.3
202.6   85.6  94.2   1.9 0.016  45.1
 92.5  205.0  64.8   2.1 0.184  39.3
135.3  201.6  42.0   4.0 0.030  42.8
120.0  143.1 114.4   2.9 0.041  42.4
236.9    8.6 142.0   3.1 0.072  44.1
 80.3  271.3  20.8  11.5 0.092  36.4
 45.8  236.4  94.8   0.9 0.049  43.6
219.5  105.6  57.5   3.0 0.027  43.3
 76.9  109.9 185.6  13.0 0.080  42.3
 91.2  204.1  82.3   1.8 0.029  42.5
223.8  150.5  21.3  25.1 0.288  43.5
352.3  359.1  36.7   6.8 0.181  39.3
351.3  219.5 181.7   9.3 0.299  47.4
314.1  245.3 187.8   7.7 0.071  43.5
 27.1  149.5 190.9  17.2 0.249  39.3
 61.4  204.5 110.1   0.7 0.046  42.9
 38.0  302.2  30.3   2.0 0.149  39.3
287.8  100.6  23.1  11.2 0.277  44.4
 96.1  219.8  52.9   2.4 0.099  43.8
122.3  199.4  37.2   4.4 0.241  39.1
262.4   46.6  78.0   2.0 0.073  44.1
328.2  262.2 158.9   2.0 0.067  36.2
173.2   16.6 189.2  27.4 0.116  42.6
337.0  327.4  82.0   2.5 0.075  46.4
112.0  200.6  64.0   3.7 0.052  43.1
 94.7  114.6 166.1   3.4 0.056  44.9
203.5   55.0 119.5  11.7 0.171  47.2
  1.8    9.4  39.4  12.4 0.160  42.0
353.0  294.2 107.9   9.5 0.164  46.2
 88.6  232.3  62.3  33.7 0.096  40.8
  9.6  214.1 152.2   1.8 0.053  46.3
196.0  144.3  37.8   1.3 0.056  42.3
348.6  261.6 128.9   0.9 0.073  43.9
 32.6  298.3  44.6   1.6 0.019  43.1
143.8  128.2 101.6   2.2 0.044  42.5
342.6  287.8 111.5   2.1 0.112  43.4
 93.4  186.7  65.2   3.7 0.273  47.6
181.6  165.7  27.8   8.5 0.073  43.4
 80.0  265.1  13.6  27.1 0.165  43.1
293.5   15.8  69.8   1.3 0.013  42.6
 85.9  136.1 154.2   1.2 0.014  42.5
111.6  120.6 141.8   2.1 0.037  42.9
102.6  229.0  21.5   9.7 0.233  42.1
