  M    Peri. Node   Incl.  e      a 
  1.8   54.1  37.9   3.9 0.318  47.4
360.0  354.7  63.3  20.5 0.087  43.3
  0.0  241.3 176.8   2.5 0.0    46.8
360.0  350.7  67.1  12.2 0.105  39.3
360.0  245.7 172.4   2.0 0.094  44.7
179.7  143.9  92.6   3.1 0.083  45.7
 65.8  248.8  40.3   6.5 0.303  39.3
360.0  271.8 118.5   1.6 0.045  43.2
360.0  280.3 110.0   1.6 0.033  43.6
 76.7  212.3  80.6   1.8 0.179  39.2
359.9  316.9  73.4   2.1 0.0    45.5
359.9  332.3  57.9   3.3 0.0    44.7
359.9  189.3 201.0   8.4 0.0    45.2
359.9  285.8 104.3   1.4 0.0    43.3
359.9  264.5 125.7   1.1 0.0    45.7
359.9  302.0  88.4   1.7 0.0    43.2
359.9  324.4  65.9   2.5 0.0    44.1
359.9  334.7  55.5   3.6 0.0    43.6
 59.7  306.7 336.7   3.6 0.061  44.6
209.3   30.2 109.5   2.5 0.077  44.2
  0.0  259.7  68.8   1.3 0.034  43.9
108.6  125.1 110.8   3.0 0.036  42.9
111.6  112.4 119.1   1.6 0.045  42.6
349.9  269.3  88.5   1.3 0.012  42.6
302.6   97.6 329.0   1.9 0.219  47.6
  0.0  210.0 116.3   2.3 0.077  44.4
359.9  168.4 143.2  11.4 0.0    43.0
  0.1   36.3 322.1   5.8 0.004  43.1
  0.0  342.3 327.4   0.9 0.0    45.1
  0.0  181.3 128.1   5.8 0.0    44.0
  0.0  184.2 124.7   1.6 0.0    44.8
  0.0  179.1 130.0  18.3 0.122  43.9
  0.0  317.6 351.9   0.5 0.0    43.5
  0.0  184.4 124.9   4.2 0.053  43.8
  0.0  169.9 139.1   2.1 0.0    46.4
  0.0   28.8 280.9   1.0 0.083  45.0
  0.0   14.1 296.0   1.5 0.095  45.6
  0.0    7.5 302.4   0.9 0.064  44.0
  0.0  169.8 140.1   0.4 0.0    46.5
  0.0   11.6 298.5   2.2 0.055  45.0
  0.0  172.6 137.3   3.6 0.0    43.8
  0.0  170.5 139.4   2.3 0.065  45.5
  0.0  179.9 129.8  33.3 0.122  43.7
  0.0  178.6 131.1   5.2 0.006  43.6
  0.0  167.7 141.4   1.0 0.038  44.4
  0.0  178.3 131.1   7.4 0.0    45.4
  0.0  167.4 141.9   0.8 0.061  44.1
  0.0  150.4 158.8   1.2 0.044  44.5
  0.0  173.3 135.9   5.6 0.0    45.6
179.5  314.4 175.1   0.9 0.119  43.4
  0.0   10.4 298.6   2.4 0.0    43.1
  0.0  270.6  75.9   5.5 0.134  43.5
  0.2  179.3 159.2  28.8 0.174  44.3
 68.2  123.7 159.7  34.7 0.091  40.8
153.7  126.5  71.6   0.7 0.065  43.9
  0.1  158.1 171.5   0.8 0.0    42.2
  0.0   23.4 306.9   4.8 0.0    37.1
180.6  193.4 316.4   9.7 0.076  45.3
359.9  212.6 108.5   8.9 0.057  42.9
  0.0  218.2 101.1   4.4 0.0    42.8
  0.0  282.8  27.1   6.1 0.0    43.0
  0.0  292.2  16.2   1.5 0.0    44.4
  0.0   39.9 150.8   4.9 0.207  39.2
357.7  219.0  10.7   8.6 0.202  39.6
  0.0    7.0 147.7   3.7 0.0    45.5
  0.0  170.5 344.2   1.0 0.0    43.0
 30.4  339.5 225.5   1.8 0.095  39.7
214.8  120.5 276.8   6.3 0.068  35.2
  5.4  173.3  79.1   5.4 0.198  39.8
  0.1  166.3  56.9  21.9 0.083  39.5
360.0  111.5 108.1   2.3 0.184  39.3
 26.0  319.4 260.5   4.3 0.116  42.5
 31.9  344.3 206.8   3.3 0.283  40.0
360.0  177.0  26.8   5.8 0.179  39.4
360.0    5.3 217.0  12.6 0.085  39.2
  0.1  183.3  30.8  10.1 0.186  39.3
360.0  348.2 214.5  28.6 0.343  39.4
 19.0  194.0  11.1   7.1 0.132  39.7
360.0  110.0 111.4   2.6 0.016  43.7
110.8  253.8 220.6  26.6 0.087  42.2
127.7   54.8  44.3   2.8 0.170  39.5
303.3  103.2 203.7  15.7 0.232  39.6
360.0  137.4  67.2   2.7 0.050  43.4
360.0  195.2  23.2   0.5 0.020  43.4
360.0  149.3  66.9   2.2 0.071  43.3
103.4  198.6 227.2   2.6 0.239  39.4
153.3   79.2 301.2   1.1 0.044  44.3
337.0  141.7  57.4   2.3 0.025  43.0
  0.0  183.3   1.2   8.6 0.193  39.4
181.1  359.7   3.8  24.0 0.068  45.1
235.7  186.6 153.6   3.5 0.118  36.5
158.1   65.5 312.9   3.1 0.151  47.1
  3.2  215.5 342.5   9.3 0.273  39.6
 90.4   28.1  48.8   1.4 0.009  42.7
  0.0  156.5 358.5   5.5 0.150  39.5
233.6  336.7 300.7   7.0 0.148  46.2
329.0  115.6 100.6   3.8 0.085  44.2
  0.0  170.8 336.2   4.8 0.120  45.7
181.8  263.4  66.6   1.7 0.061  45.0
269.6  136.5  42.3  16.9 0.134  45.9
309.0  156.2   1.8   5.7 0.243  39.1
  8.6   26.8 152.9  10.1 0.064  43.6
185.7  236.2 120.9   1.0 0.073  44.4
179.1  355.8 346.4  26.9 0.072  46.2
178.6  190.9 149.2  15.3 0.072  45.6
  6.9   41.8 108.9   3.4 0.062  43.8
 32.0  347.7 159.4   3.5 0.115  47.0
319.8  139.4  87.0   1.2 0.055  43.3
  0.1   49.7 106.9   4.6 0.0    42.6
  0.1   16.0 139.4   3.3 0.0    43.1
  0.1    4.2 131.3   3.2 0.0    42.7
  0.0  184.4 279.9   9.6 0.075  44.4
  0.0  195.5 269.9   2.4 0.067  43.9
  0.1  355.2 110.1   1.4 0.0    43.9
  0.1  358.5 106.8  10.3 0.0    43.4
  0.1  353.0 112.5   2.3 0.049  43.8
  0.0   36.9  68.6   2.2 0.035  44.7
295.4  109.3  85.7   1.8 0.030  43.7
  0.1    8.7  92.3   5.9 0.0    42.3
  0.1  350.6 114.0   5.9 0.0    45.6
306.4   74.4 114.8   6.5 0.080  43.4
228.6   75.0 180.0   1.2 0.036  42.8
 15.3    1.4  70.5  18.7 0.243  39.2
147.8  136.6 105.6   1.2 0.082  47.5
147.4  222.0  23.0   3.6 0.079  44.0
  0.0  240.0 143.8   3.0 0.145  39.6
  0.0  344.3  40.1   5.0 0.068  39.6
  0.0  351.0  33.7   6.0 0.071  42.9
  0.5  285.3 106.7   1.6 0.128  45.1
  0.3  205.8 162.0   3.2 0.091  45.8
  0.1   90.8 279.8   0.9 0.123  44.1
  1.2   31.8   8.3   2.1 0.059  43.8
141.7  241.0   0.6   6.9 0.159  41.9
 36.0  226.5 131.5   3.0 0.030  42.8
  0.1  266.3 105.2   1.3 0.0    43.0
156.3   18.8 209.2   6.5 0.153  39.2
117.6   81.4 124.7   4.8 0.027  44.0
 25.7  354.6 348.1   0.2 0.037  43.8
301.6  352.2  76.4   4.0 0.049  43.8
 70.0  167.5 129.4   6.7 0.110  39.2
357.7   10.3   7.8   3.7 0.152  43.5
 68.9  196.7  70.5   5.0 0.059  42.6
 19.5    2.1 334.7  30.6 0.122  46.1
356.8  226.8 117.0  23.6 0.187  46.1
 50.5  258.4  16.0   1.9 0.067  44.3
322.2  108.9 279.2   0.9 0.025  44.0
  0.0  234.2  91.6   2.4 0.0    43.9
  0.0  210.3 115.3   3.4 0.0    43.7
  0.0   13.9 309.8   5.2 0.0    43.7
338.8  218.7 148.0   5.1 0.024  44.3
 74.9  208.8  80.5   4.4 0.084  44.2
 83.4  162.9 111.8   1.4 0.123  45.1
267.8  321.5 143.5   1.1 0.035  42.7
336.7  170.3 247.9   8.8 0.061  39.6
354.0    1.2 332.7   0.5 0.014  43.5
120.8   69.0 130.3   2.1 0.056  43.3
179.6    5.1  58.2   6.8 0.099  46.0
  0.1  359.5 320.1  27.5 0.0    46.7
  0.1   32.2 274.6   1.5 0.0    46.4
360.0  226.8  91.3   2.6 0.098  45.6
 90.4   12.8 131.3   2.3 0.006  45.8
  0.1  104.7 201.4   1.2 0.0    43.7
183.3  357.4 126.7  12.2 0.037  46.0
  0.1  190.1 115.3   2.7 0.107  45.5
 78.1  129.4 114.8   2.0 0.038  42.9
360.0  185.7 118.5   9.1 0.091  44.9
  3.9   16.0 245.5  20.7 0.152  44.2
 49.0  327.2 240.2  20.9 0.189  45.7
 39.1   90.8 139.1   2.3 0.119  39.8
277.5  120.3 239.1  11.9 0.092  47.7
311.2  261.6  90.1   4.0 0.237  39.5
335.7  240.5  61.8  10.4 0.221  46.3
  0.0   58.7 158.6   2.8 0.092  43.6
  0.0  165.2  48.0   6.1 0.030  42.8
  0.0  121.2 127.3   1.4 0.075  44.8
231.2  141.2 255.4   1.3 0.092  44.7
313.1   66.8 261.6   3.2 0.126  46.4
303.1  272.1  50.9   3.2 0.026  44.6
125.9  316.3 149.1   1.0 0.057  44.1
115.9   29.6  88.6   2.9 0.034  43.0
 69.6   62.1  89.9   3.5 0.060  44.3
359.9   55.4 128.1   1.1 0.081  39.3
360.0    5.8 177.7   8.6 0.091  44.6
360.0  158.6  24.9   3.3 0.109  46.5
  0.0   13.4 170.0   1.9 0.0    44.7
  0.0    7.9 176.0  12.5 0.0    44.7
  0.0   30.6 153.1   2.8 0.0    46.4
  0.1  171.6  13.1  24.2 0.125  39.3
  0.1  351.9 192.3  24.6 0.114  39.3
 48.6  145.7  16.8  19.5 0.113  47.5
  0.1  109.6  97.4   4.6 0.042  43.2
  8.7   69.3 135.2   3.2 0.236  48.1
 31.2   71.9  75.7   3.6 0.078  44.3
354.8  171.5  56.8   1.2 0.047  43.5
359.9    4.7 150.1  20.0 0.102  42.9
359.9   26.3 127.9   4.3 0.087  43.1
 46.5  135.6  32.4  24.7 0.271  39.6
165.1  260.1 111.7   4.0 0.053  44.4
329.9  253.6 338.5   4.7 0.270  46.3
360.0  170.5  75.7   3.3 0.049  45.0
360.0  337.7 176.0   1.9 0.188  39.5
  0.0  347.3 166.4   3.0 0.0    45.8
  0.0  181.7 331.8   2.9 0.0    45.4
311.8  121.3 113.4   1.3 0.307  39.4
  0.0    5.0 148.7   2.6 0.0    42.9
  0.0  176.3 337.1   8.3 0.0    45.4
  0.0    2.3 151.2   2.9 0.0    45.4
  0.0  357.2 156.2   6.3 0.0    42.5
  0.0    1.5 151.6   1.5 0.0    44.4
 47.8    4.9 123.5   1.8 0.095  44.2
 65.3  351.0 121.3   1.9 0.061  42.4
172.0  237.1 130.1   3.8 0.032  43.3
360.0   13.8 122.0   2.4 0.099  44.9
307.9   90.6  33.6  23.8 0.283  39.5
 50.3  356.7 283.7   7.7 0.310  39.3
  5.9  232.9 219.5  12.9 0.298  39.0
359.9  181.8 235.9  24.7 0.085  42.8
264.0   99.7  81.3   2.0 0.077  45.3
348.9  236.8 224.8   3.8 0.201  47.7
359.9  349.7  65.3  21.5 0.103  42.9
117.6  163.7 147.2   1.9 0.062  43.8
320.0   34.5  95.7   5.5 0.124  44.2
 36.3  331.9  65.1   4.6 0.068  45.3
  0.0  327.7  87.2   1.2 0.0    42.9
223.3   24.2 190.2   0.8 0.038  43.6
 56.9  264.6 120.5   2.4 0.057  43.6
293.2   68.2  96.7   4.0 0.114  44.5
217.1  149.8  81.2   7.5 0.119  44.7
149.1  196.8  93.7   4.3 0.070  43.3
130.4  206.9 110.5   1.7 0.012  44.7
  0.0  345.8  70.5  11.8 0.138  43.7
179.1  141.4 115.9   2.2 0.045  43.2
123.1  287.5 270.0   1.8 0.047  43.7
  0.0    3.3 300.8  18.4 0.0    45.0
360.0  183.6 134.1   5.6 0.085  43.8
 14.6  326.0 102.6   3.4 0.106  41.9
360.0  293.7 125.7   2.9 0.103  43.0
360.0  247.7 172.7   2.3 0.071  43.1
  0.0  273.1 146.2   2.6 0.0    41.8
283.2   67.7 105.4   2.8 0.135  44.9
  0.0  304.8 113.6   2.5 0.0    41.4
  0.0  296.0 122.3   2.9 0.0    44.7
  0.0  294.5 125.9   2.4 0.0    44.1
  0.1  327.7  91.7   4.1 0.0    44.0
  0.0  202.9 216.5   5.2 0.0    43.5
  0.0  294.3 124.8   2.6 0.0    43.6
359.7  196.9 223.1   8.8 0.0    46.4
  0.0  336.7  82.1   6.3 0.0    46.3
  0.0    9.1 327.5  13.1 0.146  45.5
  0.0   54.8 263.8   1.5 0.0    36.5
  0.0  173.2 162.0  25.3 0.057  39.6
180.0  347.5 141.4   7.8 0.197  45.1
  0.0  351.7 344.3  11.6 0.123  43.2
 20.2  315.8  42.9   0.3 0.121  41.9
 37.4   98.2 223.2   3.7 0.216  47.5
  0.0  116.2 234.7   1.6 0.0    43.2
 67.2   78.4 168.8   2.2 0.214  39.2
 65.8  106.6 153.5   9.5 0.114  39.3
360.0  346.2 352.3   2.5 0.164  39.6
 84.0  107.4 132.4   2.0 0.125  39.4
  0.0  296.9  41.0   2.3 0.0    46.4
251.4  356.9 118.6   1.2 0.081  43.8
  0.0    3.8 334.7   2.2 0.0    41.1
 53.3  203.2  99.7   2.7 0.053  44.0
  0.0  331.7   6.0   3.5 0.0    45.6
  0.0  347.8 315.9   0.7 0.075  42.3
106.4  180.6  47.5   0.8 0.074  41.7
 43.1  273.9  15.9   1.5 0.106  44.8
137.6   65.9 129.8   2.3 0.060  44.0
254.5  139.2 326.0   5.9 0.242  42.0
269.1  296.3 130.2   4.6 0.102  45.1
 60.1  304.0 330.6   4.6 0.025  46.5
133.1  131.3  71.8   1.3 0.032  43.0
  0.0  185.7 131.0   7.9 0.0    42.4
 67.7  291.1 324.7   0.4 0.140  47.0
  0.0  358.9 319.1  13.8 0.0    44.9
169.4  122.4  45.1   0.8 0.057  44.2
290.8  268.7 135.3   6.4 0.055  42.6
 84.4   88.0 148.0   1.8 0.063  44.2
351.5  109.7 226.8   0.7 0.019  42.4
 16.2  228.7  77.1   4.4 0.051  43.2
 66.9   77.6 182.4   0.8 0.192  43.6
185.1  114.9  57.8   3.1 0.032  42.9
 64.6  196.1  77.7   5.6 0.021  44.1
 13.8  203.2 126.8   4.5 0.035  37.7
261.2  224.2 148.0  21.3 0.059  38.8
168.9  304.9 146.0  19.1 0.077  41.5
  0.0    0.2 223.1  10.8 0.0    46.2
310.4  125.2 179.6   1.7 0.105  46.4
293.0  173.8  96.1  18.1 0.192  39.5
299.5  262.2  25.5  12.9 0.202  39.3
  0.0  179.6  27.1   4.6 0.043  42.0
  0.0  357.4 215.7   2.0 0.0    43.8
197.0    0.8  13.5   2.7 0.015  44.2
215.1   11.0 345.2   0.7 0.008  44.4
  0.0  180.0   8.9  29.0 0.0    41.2
 53.0   69.0 100.0   3.7 0.072  44.3
297.9  269.5  28.7  18.4 0.259  39.2
179.1  337.0  50.3   6.7 0.147  47.2
 30.8  352.1 207.5  17.3 0.169  39.5
 12.1  160.8  32.0   5.3 0.075  42.3
332.5  243.1  35.3  12.0 0.160  45.5
 60.2  140.3  26.0   2.1 0.038  43.3
 86.6   93.2  39.4   2.5 0.085  44.8
178.4   20.0   8.8   2.1 0.026  43.7
297.4  119.1 159.5   1.1 0.072  44.2
291.5  108.2 178.3   4.4 0.101  45.4
210.5   24.9 332.9   0.7 0.059  44.2
108.5   67.8   1.7   4.6 0.292  39.4
 87.0  260.1 127.0  31.0 0.166  39.4
180.1  352.0 333.2  32.5 0.061  46.1
115.0  318.4  82.5   1.6 0.039  44.0
180.1  175.8 132.8  10.0 0.091  45.5
360.0  141.3  19.0   5.0 0.143  44.7
122.4   54.9 307.3  19.3 0.145  47.0
122.0    9.7  28.9   3.4 0.093  44.6
208.8  195.5 113.7   4.2 0.046  43.1
196.0  351.7 326.5   8.1 0.232  39.4
154.6  227.2 154.2  11.6 0.102  44.3
110.7   85.0 314.1  28.0 0.039  46.4
 25.4   61.1  56.7   0.5 0.036  43.8
 23.7   30.1  76.6   0.5 0.055  43.8
 98.8   70.9 341.8  13.5 0.231  36.7
264.5  145.9 130.6   9.5 0.102  44.4
  0.0    0.3 150.5  31.5 0.0    42.9
  0.0    1.7 149.0   0.9 0.0    42.5
 73.0  311.7 140.8   1.2 0.075  44.5
279.3  199.6  23.8  30.9 0.252  48.5
  0.0   56.6  43.8  35.9 0.062  44.0
  0.0  320.4 113.6  33.0 0.042  42.1
181.1  141.4 111.0  34.8 0.160  46.8
  0.0  279.0 159.0  20.4 0.100  43.0
119.0   77.1 255.5   7.2 0.081  42.8
 34.7  346.7  54.8  17.2 0.242  39.2
359.9   73.9 262.7  11.1 0.185  39.2
360.0  144.9 190.6  17.9 0.052  43.1
180.1  344.3 190.5   0.6 0.081  44.4
 49.6  185.3  99.3   0.9 0.143  46.9
339.3  188.9 252.9  10.6 0.153  36.1
 22.4   25.3 351.9  22.0 0.179  44.3
  0.0  179.8 192.9  21.9 0.0    43.0
 56.5  145.1 186.0   1.2 0.100  43.8
151.2   94.7 137.5  11.5 0.143  39.2
319.6  114.5 291.5   0.2 0.068  46.3
  0.0    0.2 327.6   3.7 0.0    43.9
307.9  259.2 189.1   1.4 0.054  43.8
 27.3  347.1   5.0   7.9 0.338  47.3
  2.5   70.4 327.3  13.7 0.174  44.8
 98.4  264.7   3.8   4.8 0.175  45.9
116.2  264.6   0.3   1.4 0.036  42.7
234.4  327.5 144.8   1.1 0.050  46.3
  1.2  205.3 138.1   2.6 0.046  42.5
  0.0  178.8 139.5   3.2 0.0    42.9
120.2   66.8 122.3  30.0 0.159  43.3
286.1  292.5 127.5   4.0 0.023  37.9
 44.1  159.6 124.1  28.2 0.041  40.4
104.9  102.9 111.3   1.4 0.136  47.0
246.8  147.5 301.5  14.4 0.091  41.4
 63.5  203.0  55.5   1.2 0.172  45.5
135.1   60.1 137.0   3.1 0.069  44.3
293.4  277.3 137.8   2.6 0.078  43.9
291.6  218.7 119.8  14.9 0.193  39.4
189.5  214.0 283.6   0.6 0.207  43.6
180.1  180.3 307.2   2.9 0.029  46.2
  0.0    2.1 210.5   4.0 0.0    45.5
  0.0  358.3 213.9   8.7 0.0    46.4
 77.1   84.1  32.6  16.0 0.166  39.3
179.9  182.1 210.5   3.4 0.102  45.7
  0.0    5.3 207.0   0.7 0.0    42.0
  0.0  182.8  30.0   1.9 0.0    44.4
 67.9  269.5 213.2  25.0 0.195  39.4
 89.5  108.6  30.9  10.5 0.066  43.5
284.7  280.2  35.8   5.7 0.244  39.5
296.4   95.5 211.9  13.1 0.275  39.5
359.9  181.6   0.9   7.0 0.001  44.5
272.3  213.6 122.5   4.5 0.048  43.3
278.1   56.8 255.9   1.3 0.020  43.8
309.2  265.9  30.6   1.0 0.159  43.9
  0.1   96.0 107.1   3.6 0.060  43.1
360.0   20.0 170.1  10.1 0.079  42.3
360.0  151.9  35.9   6.2 0.060  42.1
139.3  286.6 160.8   3.2 0.020  43.2
327.9  156.2 105.7   2.6 0.025  44.4
 93.3  101.2  24.3   5.2 0.083  44.8
180.2  340.8 339.0   8.2 0.113  45.5
  0.0   10.2 130.3  14.2 0.0    45.3
  0.0  130.0  10.1   3.4 0.0    41.7
  0.0   61.7  78.4   2.9 0.0    44.3
  0.0   40.9  99.3   3.9 0.0    42.8
  0.0   25.9 114.5   5.8 0.0    42.5
324.7  101.4 105.2   4.5 0.078  44.2
  0.0  108.5  31.4   2.5 0.0    44.1
  0.0   44.2  95.7   3.5 0.0    45.6
 67.1   59.8 346.5   5.5 0.230  39.4
  0.0   31.4 108.7   4.8 0.0    45.8
  0.1    6.8 133.8  22.3 0.102  42.5
 12.5  338.3 137.0  40.0 0.329  39.3
180.7  348.4 330.7  14.3 0.267  39.4
222.6  249.8  54.1   2.8 0.071  43.4
 36.8  165.7 339.0   9.3 0.281  39.7
 64.9  315.9 127.8  17.1 0.071  40.9
 98.9  250.6 164.9   0.8 0.009  43.1
250.1  169.5 100.5   0.8 0.094  43.1
 70.6  298.3 139.3   2.7 0.063  44.2
360.0  357.7 163.1   4.5 0.092  45.1
314.6  224.3 343.3   1.0 0.126  44.5
360.0  201.3 324.5   1.4 0.051  43.1
343.5    8.3 192.2   0.1 0.068  46.6
124.7  245.7 122.8   3.0 0.157  45.0
180.1  179.4 153.0   7.5 0.016  42.5
 62.2    5.2  91.1   0.2 0.138  45.8
  0.0  348.0 135.1   1.7 0.0    42.2
256.9  135.8 123.3  13.3 0.098  41.3
  0.1    0.5 154.9  12.1 0.098  43.9
360.0  359.9 151.8   2.4 0.032  44.4
360.0    0.1 148.2  25.2 0.135  43.9
303.9  109.8 128.0   9.8 0.238  42.4
186.8  196.4 174.6   7.9 0.005  43.6
268.3  262.7 347.1   1.0 0.043  43.8
 81.9  301.1 118.5   2.8 0.093  44.0
311.2   72.7 125.2  23.3 0.010  46.9
  0.0    3.0 123.1  11.6 0.0    42.0
  7.4  189.8 313.4   3.2 0.068  45.4
218.0  169.5 122.4  20.0 0.084  43.3
180.1  183.9 166.4   2.4 0.027  43.9
306.0   62.5 190.4   0.4 0.079  45.0
 25.6  352.4 168.1   8.7 0.133  47.2
181.8  319.9  24.9   0.3 0.0    45.1
180.1  175.7 175.7   1.8 0.027  43.6
198.7  173.5 154.5   0.8 0.0    43.4
 38.5  351.8  50.7  14.6 0.164  39.3
297.0  109.4  63.7   2.0 0.119  45.0
 12.9   42.7  37.6   3.0 0.103  45.2
141.3   49.5 237.2   6.8 0.090  44.4
 70.3  272.9  58.6   5.7 0.271  39.0
 24.7   28.0  16.0   6.7 0.197  39.1
  0.1  356.0  80.3   4.5 0.180  39.4
342.5   18.2 102.6   1.9 0.038  43.0
200.3  176.9  60.8   0.9 0.046  43.1
 93.1  151.7 183.9   1.5 0.038  38.7
343.8   36.6  88.4   2.2 0.125  45.4
291.1  280.8 231.4   9.6 0.129  36.2
  4.7   19.0  53.9   8.8 0.217  39.2
  0.0  358.4 199.7   3.5 0.0    45.2
359.9  182.3  16.3   6.2 0.212  39.5
  0.0  178.6  19.3   2.8 0.0    42.0
360.0  357.1 200.6   5.1 0.051  43.0
 30.7  194.0 102.7   1.2 0.036  43.8
204.8    0.1 122.9   2.1 0.044  44.3
  0.1  359.7 194.7   6.6 0.122  45.5
227.4  222.7 123.5  16.7 0.089  41.6
234.5  300.3  37.3  24.9 0.049  38.1
 65.1  135.6  16.3  28.0 0.092  41.0
  4.8   34.9 194.7   8.8 0.196  39.6
107.1  215.4 229.0   9.8 0.017  42.0
  0.0    5.4  59.9   0.6 0.0    43.3
  0.0  186.0 239.4   1.2 0.0    44.8
  0.3  117.4 239.9   9.0 0.186  39.3
 32.3  341.0   9.5  11.8 0.361  47.6
  0.0   51.7 312.5   5.7 0.0    44.5
130.5   70.9 163.9  30.0 0.058  41.4
  2.2   37.9 318.5  12.4 0.0    41.3
320.7   74.4 355.8  13.2 0.079  42.5
360.0    0.3 177.1   8.3 0.091  43.8
179.7  188.5 110.7  19.0 0.079  39.3
  9.0   36.5 121.3   8.0 0.049  42.3
244.2  203.1  74.6   1.0 0.032  43.8
  2.5  140.8 285.8   7.4 0.122  43.6
145.4  200.8  44.6   3.3 0.017  42.4
144.6   48.7 163.6   5.3 0.179  39.4
 28.8  357.2  11.6  31.7 0.098  43.6
  0.0    6.0 248.6  30.9 0.096  39.5
360.0   17.9 197.5   1.5 0.097  39.5
359.6  193.4  92.6   8.1 0.117  45.4
 33.9  321.7  99.6   0.4 0.216  39.1
 21.7  328.4 228.1   9.3 0.190  39.4
  0.0  180.6  47.8   2.7 0.0    43.4
355.8   60.0 186.6   4.8 0.259  39.9
  0.0  203.5  34.5   0.9 0.0    41.3
 63.9  100.2  21.0   3.5 0.119  39.4
360.0  180.3 338.9  22.9 0.091  42.9
  0.0  209.6  28.4   0.7 0.0    42.4
277.9  115.9 154.1   2.3 0.064  44.3
 24.3    2.6 128.6   4.1 0.137  46.6
  0.0  358.7 353.3   2.2 0.0    42.4
  0.0  356.6  12.1  16.1 0.0    40.9
  0.0  353.0  15.5   6.8 0.0    42.2
199.1    9.5  19.5   1.7 0.035  43.1
306.4   98.4 154.7   1.1 0.120  46.1
360.0  180.6 192.1   2.6 0.114  39.3
320.1   86.4 257.0   5.4 0.194  46.1
 12.6  359.1  15.2  18.3 0.095  44.2
344.0  189.6 225.1   8.0 0.195  46.1
355.1  168.0 233.5  10.7 0.123  43.3
173.0  333.7 241.3   4.5 0.070  43.5
 98.1  293.3 343.4   3.7 0.132  43.1
124.6  337.3 334.4   1.2 0.034  42.2
103.2  239.5  20.6  19.3 0.299  39.2
357.4   35.7 175.1   4.7 0.137  43.8
 91.8   33.6  38.5   2.7 0.110  46.2
288.7  111.0  78.8   1.6 0.129  46.3
107.3  196.3 135.6   3.8 0.030  38.5
 73.0  270.6  29.0   4.2 0.077  43.5
 69.1   73.3 260.8  11.9 0.073  47.3
321.9  115.8 178.5  23.5 0.175  43.8
 82.7  179.3 111.0   1.8 0.076  44.8
 54.7  233.1  81.9   2.0 0.097  45.6
248.0  115.5  27.8   8.5 0.167  46.1
142.2  175.2  51.9   3.5 0.097  44.0
 52.5  248.3  71.8   0.8 0.059  43.6
356.6  315.6  83.0  20.6 0.029  39.8
346.8  210.2 189.2   6.8 0.143  45.8
 41.6  171.9 158.8  18.8 0.241  39.2
345.5  249.3 156.8   2.7 0.249  42.0
 36.0  346.9 228.8  11.9 0.289  39.7
351.8   10.0   8.1  20.8 0.246  46.4
340.6   97.9 261.5  18.7 0.272  43.0
 19.5  140.0 207.5  40.9 0.070  41.6
 64.2  340.6 192.0  12.4 0.066  41.5
322.2  112.7 175.0   9.9 0.085  42.7
182.4  339.1  80.0  19.6 0.005  40.9
 53.7   27.0 145.7   7.3 0.234  39.6
350.5  185.9  83.1  20.0 0.263  39.7
 90.3  275.4 214.8  19.8 0.254  39.6
 29.8   50.9 165.3   7.3 0.054  42.6
303.9  179.7 128.1   7.6 0.085  48.1
219.6  182.6 207.9  18.2 0.103  41.9
 26.8   90.0 107.1   8.3 0.291  48.2
243.6  286.3  54.5   3.7 0.012  44.3
339.5  183.0  63.5   3.9 0.052  44.1
347.7  188.4  46.3   5.0 0.069  43.2
231.5  286.5  69.9   3.2 0.078  44.1
 73.0  112.6  25.3   2.3 0.106  44.9
 45.7   72.4  90.5   2.8 0.135  46.0
 33.6  107.4  72.5   2.8 0.070  44.4
160.3   12.6  45.0   9.8 0.172  39.3
 18.3  354.0 204.4   6.9 0.110  39.6
 64.0  299.8 216.0   7.4 0.037  41.3
 31.6  127.6  49.2   8.3 0.173  44.4
180.6  355.8  40.9  12.1 0.147  42.6
332.7   53.3 198.7   1.6 0.083  43.9
239.9  247.7 219.7  25.9 0.129  42.1
298.6  221.7  58.7  36.0 0.130  42.3
 42.3  219.2 121.0  19.3 0.170  47.4
357.8   52.3 131.0  17.2 0.022  40.4
353.0  294.9 116.0  15.7 0.111  45.8
 18.6  313.4  65.4  30.2 0.074  39.3
305.6  239.0  35.7   2.6 0.041  42.9
 73.3  293.2 153.1  24.7 0.064  47.8
313.9  175.6 159.0   2.5 0.039  44.4
309.6  269.4 186.0  37.9 0.080  46.8
312.1  147.4  43.4  18.7 0.230  42.3
270.5  269.8 236.6  17.4 0.155  42.8
  6.4  242.8 144.6  20.7 0.278  45.8
284.9   30.7 247.7  13.9 0.061  43.2
352.7  331.1 253.1   2.9 0.088  43.8
100.2  252.4 352.4  28.1 0.134  43.2
256.9   95.7 193.2  16.3 0.081  46.1
 88.3  254.4 236.8  27.6 0.132  41.7
 74.9  213.8 257.3  13.0 0.027  43.8
 72.0  270.8 331.6  13.6 0.005  40.8
 62.0  284.1 238.7  15.7 0.182  39.2
259.9  295.4   1.8  39.7 0.052  39.1
358.7   41.0 285.1  23.1 0.191  45.2
 33.0  152.3 326.7  15.9 0.160  42.4
106.3  270.2  53.6  22.9 0.067  45.7
 11.1   52.2 258.1  21.7 0.288  49.7
183.8    0.6  64.6  18.1 0.022  39.6
 12.4  289.8 101.3  13.6 0.365  47.4
331.3   85.9 310.3  17.2 0.139  41.8
